age,default,balance,housing,loan,day,duration,campaign,pdays,previous,y,cellular,telephone,unknown,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
55,0,0,0,0,5,160,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,0,0,1,0,5,363,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,1291,1,0,5,266,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,0,-244,1,0,5,253,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0,0,1,0,5,179,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,0,-76,1,0,5,787,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,0,-103,1,1,5,145,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,243,0,1,5,174,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,424,1,0,5,104,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,306,1,0,5,13,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,24,1,0,5,185,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,179,1,0,5,1778,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0,0,1,0,5,138,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,989,1,0,5,812,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,249,1,0,5,164,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,790,1,0,5,391,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,0,154,1,0,5,357,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,6530,1,0,5,91,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,100,0,0,5,528,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,59,1,0,5,273,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,1205,1,0,5,158,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,12223,1,1,5,177,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,5935,1,1,5,258,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,0,25,1,1,5,172,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,282,1,1,5,154,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,23,1,0,5,291,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,1937,1,0,5,181,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,384,1,0,5,176,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,582,0,1,5,211,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,91,0,0,5,349,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,0,0,1,1,5,272,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,1,1,1,0,5,208,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,0,206,1,0,5,193,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,164,0,0,5,212,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,0,690,1,0,5,20,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,2343,1,0,5,1042,1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,137,1,1,5,246,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,173,1,0,5,529,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,0,45,0,0,5,1467,1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,0,1270,1,0,5,1389,1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,16,1,1,5,188,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,486,1,0,5,180,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,0,50,0,0,5,48,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,0,152,1,1,5,213,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,290,1,0,5,583,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,54,1,0,5,221,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,-37,0,0,5,173,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,101,1,1,5,426,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,383,0,0,5,287,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,81,1,0,5,101,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,0,1,0,5,203,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,229,1,0,5,197,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,-674,1,0,5,257,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,90,0,0,5,124,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,0,128,1,0,5,229,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,179,1,0,5,55,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,0,0,1,0,5,400,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,54,1,0,5,197,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,151,1,0,5,190,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,61,0,1,5,21,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,30,1,0,5,514,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,0,523,1,0,5,849,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,0,31,1,0,5,194,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,79,0,0,5,144,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,0,-34,1,1,5,212,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,448,1,0,5,286,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,81,1,0,5,107,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,144,1,0,5,247,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,0,351,1,0,5,518,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,-67,1,0,5,364,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,262,0,0,5,178,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,0,0,0,5,98,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,0,56,1,0,5,439,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,26,1,0,5,79,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,3,1,0,5,120,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,41,1,1,5,127,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,0,7,0,1,5,175,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,105,1,0,5,262,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,0,818,1,1,5,61,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,-16,1,1,5,78,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,0,0,1,0,5,143,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,2476,1,0,5,579,1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,1185,0,0,5,677,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0,217,1,0,5,345,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,1685,1,0,5,185,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,802,1,1,5,100,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,0,0,1,0,5,125,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,0,94,1,0,5,193,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0,0,1,0,5,136,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,0,0,0,5,73,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0,517,1,0,5,528,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,265,1,0,5,541,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,947,1,0,5,163,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,3,1,0,5,301,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,42,0,0,5,46,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,0,37,1,0,5,204,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,57,1,0,5,98,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,22,1,0,5,71,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,0,8,1,0,5,157,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,0,293,1,0,5,243,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,3,1,0,5,186,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,348,1,0,5,579,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,-19,1,0,5,163,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,0,0,1,0,5,610,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,-4,1,0,5,2033,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,18,1,0,5,85,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,0,139,0,0,5,114,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,0,0,1,0,5,114,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,1883,1,0,5,57,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,216,1,0,5,238,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,0,782,1,0,5,93,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,0,904,1,0,5,128,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,0,1705,1,0,5,107,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,47,1,0,5,181,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,176,1,0,5,303,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,1225,1,0,5,558,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,0,86,1,0,5,270,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,0,82,1,0,5,228,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,0,271,1,0,5,99,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,1378,1,0,5,240,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,184,0,0,5,673,2,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,0,0,0,0,5,233,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,0,1,0,5,1056,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,1357,1,1,5,250,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,19,1,0,5,252,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,434,0,0,5,138,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,92,1,0,5,130,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,1151,1,0,5,412,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,0,41,1,0,5,179,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,51,1,0,5,19,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,214,1,0,5,458,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,1161,1,0,5,717,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,0,37,1,0,5,313,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,787,1,0,5,683,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,59,1,0,5,1077,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,253,1,0,5,416,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,211,1,0,5,146,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,0,235,1,0,5,167,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,4384,1,0,5,315,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,4080,0,0,5,140,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,53,1,1,5,346,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,0,0,1,0,5,562,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,2127,1,0,5,172,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,377,1,0,5,217,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,73,1,0,5,142,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,0,445,1,0,5,67,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,243,1,0,5,291,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,307,1,0,5,309,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,155,1,0,5,248,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,0,173,0,1,5,98,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,400,1,0,5,256,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
61,0,1428,1,0,5,82,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,219,1,0,5,577,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,0,7,1,0,5,286,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,575,1,0,5,477,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,298,1,0,5,611,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,0,1,0,5,471,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,0,5699,1,0,5,381,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,0,176,1,1,5,42,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,0,517,1,0,5,251,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,257,1,0,5,408,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,0,56,1,0,5,215,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,-390,1,0,5,287,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,330,1,0,5,216,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,195,0,0,5,366,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,301,1,0,5,210,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,-41,1,0,5,288,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,483,1,0,5,168,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,28,0,0,5,338,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,13,0,0,5,410,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,965,0,0,5,177,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,378,1,1,5,127,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,219,1,0,5,357,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,0,324,1,0,5,175,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,-69,1,0,5,300,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,0,0,1,5,136,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,205,1,0,5,1419,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,0,278,1,0,5,125,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,0,1065,1,0,5,213,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,34,1,0,5,27,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,1033,0,0,5,238,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,1467,1,0,5,124,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,-12,1,0,5,18,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,0,388,1,0,5,730,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,294,1,0,5,746,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,1827,0,0,5,121,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,0,627,1,0,5,247,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,0,25,1,0,5,40,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,315,1,0,5,181,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,0,0,1,0,5,79,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,66,1,0,5,206,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,0,-9,1,1,5,389,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,349,1,1,5,127,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,100,1,0,5,702,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,0,0,0,0,5,151,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,434,1,0,5,117,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,0,3237,1,0,5,232,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,0,275,0,0,5,408,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
22,0,0,1,0,5,179,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,207,1,0,5,39,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,483,1,0,5,282,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,2248,1,0,5,714,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,0,428,1,0,5,50,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,0,1,1,5,181,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,0,0,1,0,5,142,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,140,1,0,5,227,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,0,297,1,0,5,119,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,279,1,0,5,361,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,901,1,0,5,73,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,0,2573,1,0,5,67,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,143,1,1,5,350,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
